edge1,edge2,abs_frequency
-5225.683417085427,-4769.251256281408,21530.0
-4769.251256281408,-4312.819095477389,12670.0
-4312.819095477389,-3856.38693467337,8791.0
-3856.38693467337,-3399.9547738693436,5402.0
-3399.9547738693436,-2943.5226130653245,7876.0
-2943.5226130653245,-2487.0904522613055,11457.0
-2487.0904522613055,-2030.6582914572864,18095.0
-2030.6582914572864,-1574.2261306532673,20117.0
-1574.2261306532673,-1117.7939698492482,13265.0
-1117.7939698492482,-661.3618090452292,12118.0
-661.3618090452292,-204.9296482412028,10770.0
-204.9296482412028,251.50251256281626,8835.0
251.50251256281626,707.9346733668353,11250.0
707.9346733668353,1164.3668341708544,11516.0
1164.3668341708544,1620.7989949748735,12452.0
1620.7989949748735,2077.2311557788926,5441.0
2077.2311557788926,2533.6633165829116,2359.0
2533.6633165829116,2990.0954773869307,5001.0
2990.0954773869307,3446.52763819095,8853.0
3446.52763819095,3902.959798994969,12376.0
3902.959798994969,4359.391959798988,16061.0
4359.391959798988,4815.824120603022,16017.0
4815.824120603022,5272.256281407041,8532.0
5272.256281407041,5728.68844221106,2413.0
5728.68844221106,6185.120603015079,865.0
6185.120603015079,6641.552763819098,834.0
6641.552763819098,7097.984924623117,785.0
7097.984924623117,7554.417085427136,1474.0
7554.417085427136,8010.849246231155,4182.0
8010.849246231155,8467.281407035174,5893.0
8467.281407035174,8923.713567839193,4289.0
8923.713567839193,9380.145728643212,1488.0
9380.145728643212,9836.577889447231,730.0
9836.577889447231,10293.01005025125,768.0
10293.01005025125,10749.44221105527,731.0
10749.44221105527,11205.874371859303,630.0
11205.874371859303,11662.306532663322,684.0
11662.306532663322,12118.738693467341,670.0
12118.738693467341,12575.17085427136,537.0
12575.17085427136,13031.60301507538,402.0
13031.60301507538,13488.035175879399,219.0
13488.035175879399,13944.467336683418,176.0
13944.467336683418,14400.899497487437,189.0
14400.899497487437,14857.331658291456,177.0
14857.331658291456,15313.763819095475,198.0
15313.763819095475,15770.195979899494,201.0
15770.195979899494,16226.628140703513,180.0
16226.628140703513,16683.060301507532,128.0
16683.060301507532,17139.49246231155,70.0
17139.49246231155,17595.924623115585,63.0
17595.924623115585,18052.356783919604,46.0
18052.356783919604,18508.788944723623,32.0
18508.788944723623,18965.221105527642,25.0
18965.221105527642,19421.65326633166,71.0
19421.65326633166,19878.08542713568,82.0
19878.08542713568,20334.5175879397,93.0
20334.5175879397,20790.94974874372,94.0
20790.94974874372,21247.381909547737,73.0
21247.381909547737,21703.814070351757,21.0
21703.814070351757,22160.246231155776,5.0
22160.246231155776,22616.678391959795,12.0
22616.678391959795,23073.110552763814,10.0
23073.110552763814,23529.542713567833,3.0
23529.542713567833,23985.974874371866,0.0
23985.974874371866,24442.407035175886,0.0
24442.407035175886,24898.839195979905,0.0
24898.839195979905,25355.271356783924,0.0
25355.271356783924,25811.703517587943,0.0
25811.703517587943,26268.135678391962,0.0
26268.135678391962,26724.56783919598,0.0
26724.56783919598,27181.0,0.0
