timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544451891.11	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	5	56950	1260	971	IMU_2	1535	65535	6	1018	65370	988	14974	NT50	64767	23774
1544451891.39	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	6	56871	1496	910	IMU_2	1535	65535	7	1016	65379	1128	14720	NT50	64511	33758
1544451891.63	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56923	1356	927	IMU_2	1535	65535	7	1017	65335	1076	14895	NT50	65535	38366
1544451891.87	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56818	1583	936	IMU_2	1535	65535	6	1018	65300	918	14991	NT50	65535	42974
1544451892.11	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56950	1435	945	IMU_2	1535	65535	6	1018	65291	918	15009	NT50	64767	38366
1544451892.35	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56976	1295	866	IMU_2	1535	65535	7	1017	65344	1128	14886	NT50	64767	33758
1544451892.59	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56871	1391	866	IMU_2	1535	0	7	1017	65440	1128	14860	NT50	64767	51422
1544451892.83	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56906	1373	936	IMU_2	1535	65534	7	1018	65239	1102	15026	NT50	65279	38366
1544451893.06	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56862	1216	848	IMU_2	1535	65535	6	1017	65353	936	14948	NT50	64767	42974
1544451893.29	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56985	1400	988	IMU_2	1535	0	7	1017	65414	1146	14930	NT50	65279	42974
1544451893.52	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56880	1338	1050	IMU_2	1535	0	8	1017	65431	1172	14878	NT50	64255	38366
1544451893.74	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	8	7	56915	1268	1050	IMU_2	1535	0	8	1017	65466	1155	14939	NT50	64767	33758
1544451893.98	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	6	56818	1347	901	IMU_2	1538	0	6	1017	65423	971	14843	NT50	64767	33758
1544451894.24	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	5	56967	1426	971	IMU_2	1538	0	7	1018	65405	1102	15026	NT50	64767	33758
1544451894.49	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56932	1365	936	IMU_2	1538	65535	7	1017	65370	1120	14921	NT50	65279	33758
1544451894.72	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	6	56836	1417	962	IMU_2	1538	0	7	1017	65501	1111	14886	NT50	65535	33758
1544451894.94	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	10	6	56932	1435	988	IMU_2	1538	0	6	1017	65449	988	14834	NT50	64767	51422
1544451895.16	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	7	56915	1373	1085	IMU_2	1535	65535	6	1016	65353	962	14808	NT50	65535	28894
1544451895.39	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56976	1347	892	IMU_2	1535	65535	7	1017	65361	1076	14913	NT50	64767	38366
1544451895.63	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	7	56897	1443	1111	IMU_2	1535	0	7	1017	65440	1076	14930	NT50	65279	38366
