timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544451881.55	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	4	56836	1478	700	IMU_2	1538	0	8	1017	65475	1172	14886	NT50	64255	28894
1544451881.77	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	6	56783	1435	953	IMU_2	1538	0	6	1017	65414	997	14878	NT50	65279	38366
1544451881.99	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	6	56818	1408	866	IMU_2	1538	0	7	1017	65423	1120	14886	NT50	64511	28894
1544451882.23	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	10	5	56932	1496	822	IMU_2	1538	0	6	1017	65405	945	14878	NT50	64767	23774
1544451882.47	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	7	56985	1408	1102	IMU_2	1538	0	6	1016	65440	988	14790	NT50	64767	23774
1544451882.71	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56976	1303	910	IMU_2	1538	0	7	1017	65528	1067	14860	NT50	64767	42974
1544451882.97	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	6	56792	1452	971	IMU_2	1538	65535	7	1018	65335	1093	14983	NT50	64255	28894
1544451883.22	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64564	9	7	57072	1373	1015	IMU_2	1538	0	7	1017	65431	1058	14895	NT50	65535	33758
1544451883.46	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56932	1408	883	IMU_2	1538	0	8	1018	65431	1155	15061	NT50	64767	28894
1544451883.69	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	7	56880	1356	1041	IMU_2	1538	0	7	1016	65423	1032	14799	NT50	64767	33758
1544451883.93	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	7	56783	1426	822	IMU_2	1538	0	7	1016	65414	1076	14799	NT50	64767	18398
1544451884.17	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	7	56950	1338	1067	IMU_2	1538	0	8	1018	65405	1216	15088	NT50	64511	33758
1544451884.41	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56836	1382	848	IMU_2	1535	0	7	1018	65440	1041	15061	NT50	64511	38366
1544451884.68	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	8	6	56880	1286	945	IMU_2	1535	65535	7	1017	65309	1050	14948	NT50	65279	23774
1544451884.92	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56897	1400	892	IMU_2	1535	65535	7	1018	65370	1015	15009	NT50	64767	33758
1544451885.16	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56880	1365	822	IMU_2	1535	0	7	1016	65423	1058	14799	NT50	65535	33758
1544451885.4	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	7	56818	1382	1015	IMU_2	1535	65535	7	1016	65361	1111	14808	NT50	64511	38366
1544451885.64	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	6	56818	1461	988	IMU_2	1535	65535	6	1017	65353	936	14886	NT50	64767	33758
1544451885.88	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	5	56801	1531	752	IMU_2	1535	0	6	1019	65475	927	15158	NT50	64511	42974
1544451886.13	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56950	1391	892	IMU_2	1535	0	7	1017	65466	1023	14878	NT50	64767	51422
