timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544449394.9	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	7	56985	1426	1006	IMU_2	1602	65534	6	1016	65248	927	14790	NT50	65279	33758
1544449395.14	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64562	10	6	56836	1496	918	IMU_2	1602	65535	6	1016	65309	892	14790	NT50	64767	42974
1544449395.38	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64562	10	7	56950	1505	1050	IMU_2	1605	65535	6	1018	65309	892	14974	NT50	64767	33758
1544449395.6	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	10	7	57011	1452	1041	IMU_2	1602	65535	6	1018	65370	997	14974	NT50	64767	33758
1544449395.84	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	10	7	57028	1478	1058	IMU_2	1602	65535	6	1018	65309	927	15009	NT50	65279	38366
1544449396.08	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64562	9	7	56862	1373	1076	IMU_2	1602	65535	5	1018	65326	840	14965	NT50	64511	33758
1544449396.32	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	6	56941	1312	980	IMU_2	1602	65534	5	1018	65283	988	14956	NT50	65279	18398
1544449396.56	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	6	56906	1408	988	IMU_2	1602	0	6	1018	65440	901	15061	NT50	65279	38366
1544449396.82	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	10	7	57011	1505	1120	IMU_2	1602	65534	6	1018	65239	936	14974	NT50	64767	23774
1544449397.06	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	9	6	56958	1321	953	IMU_2	1605	65535	6	1018	65361	962	14965	NT50	65279	28894
1544449397.33	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	10	8	56897	1443	1181	IMU_2	1605	65534	6	1018	65186	971	14965	NT50	64767	33758
1544449397.57	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	9	6	56923	1382	962	IMU_2	1602	0	5	1017	65405	857	14878	NT50	256	38366
1544449397.79	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	10	6	56993	1478	980	IMU_2	1602	65535	5	1017	65318	857	14869	NT50	65279	33758
1544449398.03	Z-8NTC	0	159	0	154	0	155	IMU_1	1620	64563	9	7	56967	1426	1041	IMU_2	1602	65535	6	1018	65361	936	15000	NT50	64767	38366
1544449398.26	Z-8NTC	0	159	0	154	0	155	IMU_1	1620	64562	9	7	56880	1426	1006	IMU_2	1602	65534	6	1018	65178	883	14965	NT50	65535	33758
1544449398.48	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	7	57028	1408	1041	IMU_2	1602	0	6	1018	65405	910	14974	NT50	65535	28894
1544449398.72	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	7	57020	1373	1041	IMU_2	1602	65535	6	1017	65160	918	14755	NT50	256	42974
1544449398.94	Z-8NTC	0	159	0	154	0	155	IMU_1	1620	64563	10	6	56923	1496	945	IMU_2	1602	0	5	1018	65431	857	14843	NT50	64767	33758
1544449399.18	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	8	56906	1417	1172	IMU_2	1605	65535	6	1018	65265	901	15000	NT50	65535	38366
1544449399.42	Z-8NTC	0	159	0	154	0	155	IMU_1	1620	64562	10	6	56888	1487	927	IMU_2	1605	0	5	1016	65405	840	14738	NT50	64767	18398
