timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544451872.12	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56853	1426	857	IMU_2	1538	0	7	1017	17	1093	14904	NT50	64767	28894
1544451872.35	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56871	1373	910	IMU_2	1535	0	8	1017	65458	1172	14878	NT50	64767	28894
1544451872.59	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56958	1443	945	IMU_2	1535	0	7	1017	65405	1023	14860	NT50	256	18398
1544451872.83	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	7	56976	1461	1032	IMU_2	1535	65535	7	1017	65344	1006	14904	NT50	64511	23774
1544451873.07	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56713	1356	988	IMU_2	1538	0	7	1017	65405	1023	14939	NT50	65279	28894
1544451873.3	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	6	56801	1452	962	IMU_2	1535	0	8	1017	65440	1163	14913	NT50	65279	42974
1544451873.52	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56880	1426	927	IMU_2	1535	0	7	1017	65475	1023	14878	NT50	64767	33758
1544451873.74	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56880	1408	840	IMU_2	1535	65535	7	1017	65335	1058	14878	NT50	64511	28894
1544451873.97	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56923	1426	997	IMU_2	1538	65535	6	1018	65318	910	15009	NT50	64767	38366
1544451874.21	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56862	1330	857	IMU_2	1535	65535	7	1017	65256	1058	14869	NT50	65535	28894
1544451874.43	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	8	6	56923	1181	892	IMU_2	1535	0	7	1017	8	1085	14843	NT50	65279	28894
1544451874.66	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	5	56801	1452	875	IMU_2	1538	65535	7	1017	65388	1076	14930	NT50	65279	28894
1544451874.9	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64564	9	6	57055	1426	988	IMU_2	1535	65535	6	1017	65353	1015	14764	NT50	65279	38366
1544451875.14	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56923	1356	962	IMU_2	1535	65535	6	1017	65361	953	14930	NT50	65279	38366
1544451875.38	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	6	56845	1522	910	IMU_2	1538	0	8	1017	65493	1225	14895	NT50	64255	28894
1544451875.65	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56897	1505	892	IMU_2	1535	0	7	1017	65326	1093	14860	NT50	65279	33758
1544451875.89	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56923	1487	918	IMU_2	1538	0	7	1017	65449	1128	14921	NT50	65535	28894
1544451876.14	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	57028	1435	971	IMU_2	1538	65535	8	1017	65344	1181	14913	NT50	65279	28894
1544451876.4	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	6	56871	1470	962	IMU_2	1538	65535	7	1017	65379	1032	14939	NT50	64511	38366
1544451876.64	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	8	5	56766	1408	857	IMU_2	1538	65535	7	1017	65326	1085	14843	NT50	64767	28894
