timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544449399.67	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	9	7	56906	1356	1032	IMU_2	1602	65534	6	1017	65195	927	14869	NT50	64511	38366
1544449399.93	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64564	10	8	57081	1461	1172	IMU_2	1602	65535	5	1018	65361	787	14991	NT50	64511	28894
1544449400.17	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	10	7	56985	1505	1093	IMU_2	1602	65534	6	1018	65186	866	14991	NT50	64767	33758
1544449400.43	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	7	56985	1373	1076	IMU_2	1602	65534	6	1017	65239	892	14921	NT50	65279	38366
1544449400.67	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64562	10	6	56827	1487	945	IMU_2	1602	65535	5	1017	65318	857	14860	NT50	65279	38366
1544449400.91	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	7	56932	1321	1041	IMU_2	1602	0	5	1017	65449	813	14913	NT50	64511	33758
1544449401.15	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	7	56967	1400	1085	IMU_2	1602	0	5	1017	65361	770	14983	NT50	65279	42974
1544449401.4	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	7	56976	1417	1076	IMU_2	1602	65535	6	1017	65300	988	14895	NT50	64767	33758
1544449401.68	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	10	6	56906	1452	1032	IMU_2	1605	65535	6	1017	65361	796	14965	NT50	65279	42974
1544449401.93	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	9	6	56950	1321	918	IMU_2	1602	65534	6	1018	65221	988	15044	NT50	65279	33758
1544449402.17	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	7	56915	1400	1041	IMU_2	1602	0	5	1017	65423	805	14930	NT50	65279	55518
1544449402.39	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	6	57020	1373	997	IMU_2	1605	65535	6	1018	65274	910	15088	NT50	65279	38366
1544449402.63	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64562	9	7	56862	1417	1076	IMU_2	1602	0	6	1017	65396	875	14948	NT50	64767	42974
1544449402.87	Z-8NTC	0	159	0	154	0	154	IMU_1	1623	64563	9	6	56958	1321	892	IMU_2	1602	65534	6	1018	65248	962	14948	NT50	65279	33758
1544449403.11	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	8	6	56932	1277	927	IMU_2	1602	65535	5	1018	65274	787	15061	NT50	65535	42974
1544449403.35	Z-8NTC	0	159	0	154	0	155	IMU_1	1623	64563	10	7	56958	1470	1085	IMU_2	1602	65534	6	1017	65230	875	14921	NT50	65279	42974
1544449403.59	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	9	7	57028	1321	1050	IMU_2	1602	65535	6	1017	65300	883	14930	NT50	65279	38366
1544449403.85	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64562	9	6	56845	1321	866	IMU_2	1602	65534	5	1017	65230	857	14878	NT50	64767	38366
1544449404.09	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64564	10	8	57142	1531	1163	IMU_2	1602	0	6	1017	65414	875	14904	NT50	64767	38366
1544449404.35	Z-8NTC	0	159	0	154	0	154	IMU_1	1620	64563	9	6	56976	1391	910	IMU_2	1602	65534	5	1017	65239	813	14878	NT50	64767	33758
