timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544451862.68	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	9	7	56915	1338	1015	IMU_2	1535	0	7	1017	65475	1146	14869	NT50	65279	33758
1544451862.92	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	10	6	56967	1487	918	IMU_2	1535	0	8	1017	65519	1163	14913	NT50	64511	42974
1544451863.16	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	9	6	56967	1391	971	IMU_2	1538	0	6	1017	65396	988	14843	NT50	64767	42974
1544451863.4	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	10	6	57037	1496	875	IMU_2	1535	0	7	1017	65466	1041	14851	NT50	64767	42974
1544451863.64	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	10	6	56932	1435	997	IMU_2	1535	0	7	1017	65396	1076	14904	NT50	64767	33758
1544451863.88	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	9	6	56932	1356	945	IMU_2	1538	65535	7	1017	65388	1006	14886	NT50	64767	38366
1544451864.12	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64562	8	6	56880	1233	883	IMU_2	1538	0	7	1017	65449	1041	14930	NT50	64767	28894
1544451864.35	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	6	56783	1373	997	IMU_2	1538	65535	7	1017	65318	1050	14939	NT50	65535	33758
1544451864.59	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	6	56862	1461	875	IMU_2	1538	0	7	1016	65405	1146	14799	NT50	64511	33758
1544451864.81	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	9	6	56906	1330	892	IMU_2	1538	0	7	1018	65466	1102	15009	NT50	64511	28894
1544451865.05	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	9	6	56923	1382	866	IMU_2	1538	65535	6	1017	65370	980	14948	NT50	64255	38366
1544451865.29	Z-8NTC	0	150	0	151	0	151	IMU_1	1607	64563	10	6	56897	1452	918	IMU_2	1538	0	7	1017	65466	1023	14843	NT50	64767	42974
1544451865.51	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64562	9	5	56757	1391	848	IMU_2	1538	0	7	1017	65449	1023	14886	NT50	64767	42974
1544451865.74	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64562	9	6	56888	1391	901	IMU_2	1535	65535	7	1018	65379	1041	14983	NT50	64511	33758
1544451865.97	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64562	9	5	56853	1426	857	IMU_2	1538	0	7	1017	65396	1120	14860	NT50	65279	33758
1544451866.22	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64563	9	6	56915	1347	971	IMU_2	1538	0	7	1017	0	1050	14904	NT50	65279	33758
1544451866.46	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64561	9	6	56748	1347	980	IMU_2	1535	65535	7	1017	65361	1067	14851	NT50	65279	18398
1544451866.69	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	57011	1513	831	IMU_2	1535	0	7	1018	65440	1093	14974	NT50	64767	23774
1544451866.92	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64562	10	6	56827	1461	866	IMU_2	1535	0	7	1017	65414	1093	14913	NT50	64767	28894
1544451867.14	Z-8NTC	0	150	0	151	0	151	IMU_1	1610	64562	9	6	56810	1417	927	IMU_2	1535	0	7	1017	65449	1085	14851	NT50	65279	33758
